City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Wum,CM,6.38,10.07,71.89,86,100,2.44,moderate rain
83,Athabasca,CA,54.72,-113.29,30.61,72,8,6.8,clear sky
84,Carnarvon,AU,-24.87,113.63,66.04,76,0,22.21,clear sky
85,Butaritari,KI,3.07,172.79,80.1,76,99,5.7,light rain
86,Sioux Lookout,CA,50.1,-91.92,44.67,93,100,17.27,light intensity drizzle
87,Pevek,RU,69.7,170.31,35.85,71,100,12.59,overcast clouds
88,Mar Del Plata,AR,-38.0,-57.56,58.95,52,0,11.99,clear sky
89,Arraial Do Cabo,BR,-22.97,-42.03,75.16,78,40,13.8,scattered clouds
90,Bandarbeyla,SO,9.49,50.81,80.26,79,0,28.48,clear sky
91,Oskemen,KZ,49.96,82.61,66.16,37,0,2.24,clear sky
92,Metro,ID,-5.11,105.31,77.07,86,99,4.14,overcast clouds
93,Port Elizabeth,ZA,-33.92,25.57,68.31,72,0,19.57,clear sky
94,Caronport,CA,50.45,-105.82,34.0,70,0,5.7,clear sky
95,Cantagallo,CO,7.38,-73.92,77.58,84,98,0.78,overcast clouds
96,Luxeuil-Les-Bains,FR,47.82,6.36,65.82,34,0,6.91,clear sky
97,Constitucion,CL,-35.33,-72.42,51.73,55,8,2.1,clear sky
98,Biltine,TD,14.53,20.92,97.7,20,40,4.63,scattered clouds
99,Victoria,HK,22.29,114.16,84.33,73,62,10.0,broken clouds
100,Georgetown,MY,5.41,100.34,82.33,86,20,5.01,light rain
101,Lasa,IT,46.62,10.7,67.08,37,19,2.24,few clouds
102,Rincon,US,32.3,-81.24,78.85,81,0,4.61,clear sky
103,Nadadores,MX,27.05,-101.6,78.24,69,1,0.72,clear sky
104,Kathu,TH,7.92,98.33,85.69,99,100,13.38,heavy intensity rain
105,Poum,NC,-20.23,164.02,75.6,75,24,4.41,few clouds
106,New Norfolk,AU,-42.78,147.06,55.71,68,59,2.48,broken clouds
107,Bethel,US,41.37,-73.41,69.01,76,0,1.01,clear sky
108,Dingle,PH,11.0,122.67,76.44,90,100,2.73,light rain
109,Palmer,US,42.16,-72.33,66.49,75,40,3.44,scattered clouds
110,Luderitz,NA,-26.65,15.16,72.55,33,90,11.74,overcast clouds
111,Namibe,AO,-15.2,12.15,75.83,73,0,12.66,clear sky
112,Marzuq,YE,14.4,46.47,88.79,32,67,10.33,broken clouds
113,Lompoc,US,34.64,-120.46,56.12,95,0,8.05,clear sky
114,Sur,OM,22.57,59.53,86.76,60,2,5.82,clear sky
115,Alice Springs,AU,-23.7,133.88,60.22,38,0,2.3,clear sky
116,Lavrentiya,RU,65.58,-171.0,40.96,93,100,21.45,overcast clouds
117,Acapulco,MX,16.86,-99.89,76.66,88,100,3.31,overcast clouds
118,Kudahuvadhoo,MV,2.67,72.89,82.29,72,7,6.49,clear sky
119,Tullamore,IE,53.27,-7.49,65.5,74,100,9.66,overcast clouds
120,Tahta,EG,26.77,31.5,94.5,18,0,18.81,clear sky
121,Manzhouli,CN,49.6,117.43,41.02,72,34,5.53,scattered clouds
122,Komsomolskiy,UZ,40.43,71.72,83.12,24,81,2.3,broken clouds
123,Tarakan,ID,3.3,117.63,74.7,94,20,0.0,few clouds
124,Bambous Virieux,MU,-20.34,57.76,73.65,73,75,11.5,broken clouds
125,Ushuaia,AR,-54.8,-68.3,46.06,57,20,16.11,few clouds
126,Mathathane,BW,-22.27,28.75,70.52,59,69,15.28,broken clouds
127,Narsaq,GL,60.92,-46.05,45.25,44,12,0.54,few clouds
128,Sfantu Gheorghe,RO,45.87,25.78,54.93,71,98,7.92,overcast clouds
