City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kashi,CN,2022-09-21 20:24:34,39.45,75.98,67.21,52,97,11.18
70,New Norfolk,AU,2022-09-21 20:24:35,-42.78,147.06,51.71,77,26,2.82
71,Lompoc,US,2022-09-21 20:24:35,34.64,-120.46,76.51,63,40,10.36
72,Hermanus,ZA,2022-09-21 20:24:36,-34.42,19.23,49.8,77,8,3.02
73,Pevek,RU,2022-09-21 20:24:36,69.7,170.31,35.17,75,1,8.43
74,Tiksi,RU,2022-09-21 20:24:37,71.69,128.87,33.1,99,100,16.02
75,Rio Grande,BR,2022-09-21 20:24:37,-32.03,-52.1,60.91,76,98,10.65
76,Airai,TL,2022-09-21 20:24:37,-8.93,125.41,60.06,87,98,2.73
77,Ust-Kuyga,RU,2022-09-21 20:24:38,70.02,135.6,32.31,98,100,7.43
78,Gazli,UZ,2022-09-21 20:24:38,40.13,63.45,77.76,12,0,9.28
79,Albany,US,2022-09-21 20:21:16,42.6,-73.97,76.89,68,29,1.01
80,Port Alfred,ZA,2022-09-21 20:24:39,-33.59,26.89,58.17,89,73,1.99
81,Aykhal,RU,2022-09-21 20:24:39,66.0,111.5,10.35,94,91,4.38
82,Nenjiang,CN,2022-09-21 20:24:40,49.18,125.22,50.61,54,100,6.71
83,Ngaoundere,CM,2022-09-21 20:24:40,7.32,13.58,64.33,98,56,3.31
84,Provideniya,RU,2022-09-21 20:24:41,64.38,-173.3,41.92,98,100,8.75
85,Chapais,CA,2022-09-21 20:24:41,49.78,-74.85,55.18,93,100,14.81
86,Izmit,TR,2022-09-21 20:24:42,40.77,29.92,58.41,72,75,1.14
87,Lebu,CL,2022-09-21 20:20:15,-37.62,-73.65,50.92,71,65,7.87
88,Mount Gambier,AU,2022-09-21 20:24:42,-37.83,140.77,51.71,93,100,5.75
89,Serebryanyy Bor,RU,2022-09-21 20:24:43,56.8,124.8,35.11,97,100,2.82
90,Barra Do Garcas,BR,2022-09-21 20:24:43,-15.89,-52.26,99.18,30,40,6.91
91,Bourbonnais,US,2022-09-21 20:24:44,41.14,-87.88,85.73,54,100,9.22
92,Axim,GH,2022-09-21 20:25:44,4.87,-2.24,75.79,87,70,4.92
93,Bure,ET,2022-09-21 20:25:44,10.7,37.07,56.19,90,90,4.52
94,Vila Velha,BR,2022-09-21 20:24:00,-20.33,-40.29,78.75,85,0,14.97
95,Wismar,DE,2022-09-21 20:25:45,53.9,11.47,50.49,84,76,3.49
