City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Luderitz,NA,-26.65,15.16,64.94,46,96,6.78,overcast clouds
83,Avera,US,33.19,-82.53,90.55,37,0,5.77,clear sky
84,Chahal,GT,15.75,-89.57,83.17,67,77,4.03,broken clouds
85,Salekhard,RU,66.53,66.6,37.31,78,53,15.08,broken clouds
86,Aitape,PG,-3.14,142.35,76.01,88,83,4.5,broken clouds
87,Esperance,AU,-33.87,121.9,58.84,81,23,21.41,few clouds
88,Rogozno,PL,52.75,16.99,57.47,65,94,5.75,overcast clouds
89,Coquimbo,CL,-29.95,-71.34,62.33,48,0,12.66,clear sky
90,Puerto Ayora,EC,-0.74,-90.35,75.16,87,100,8.99,overcast clouds
91,Gizo,SB,-8.1,156.84,76.14,81,100,10.6,overcast clouds
92,La Ronge,CA,55.1,-105.28,50.25,71,20,4.61,few clouds
93,Neiafu,TO,-18.65,-173.98,75.88,88,40,12.66,scattered clouds
94,Caravelas,BR,-17.71,-39.25,81.41,65,59,12.66,broken clouds
95,Vilhena,BR,-12.74,-60.15,89.82,43,20,16.11,few clouds
96,Lebu,CL,-37.62,-73.65,49.8,70,34,6.78,scattered clouds
97,Snezhnogorsk,RU,69.19,33.25,40.78,70,100,16.49,overcast clouds
98,Saint George,US,37.1,-113.58,84.25,45,20,10.36,few clouds
99,Hobart,AU,-42.88,147.33,56.05,88,100,1.99,overcast clouds
100,Pangai,TO,-19.8,-174.35,76.86,79,100,23.15,light rain
101,Castro,BR,-24.79,-50.01,59.4,99,100,4.36,light rain
102,Port Alfred,ZA,-33.59,26.89,62.19,82,1,5.01,clear sky
103,Bondo,CD,3.81,23.69,70.81,98,100,0.4,light rain
104,Saint-Joseph,RE,-21.37,55.62,70.18,74,13,13.15,few clouds
105,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,81.37,60,25,9.08,scattered clouds
106,Talnakh,RU,69.49,88.4,34.21,96,100,20.78,snow
107,Lorengau,PG,-2.02,147.27,79.36,79,14,2.04,few clouds
108,Saint-Philippe,RE,-21.36,55.77,71.19,77,26,12.08,scattered clouds
109,Bluff,NZ,-46.6,168.33,44.6,86,44,6.35,scattered clouds
110,Esna,EG,25.29,32.55,91.42,20,0,14.34,clear sky
111,Portree,GB,57.41,-6.19,58.51,93,100,15.95,overcast clouds
112,Ferme-Neuve,CA,46.7,-75.45,60.35,77,100,10.47,overcast clouds
113,Yinchuan,CN,38.47,106.27,65.8,32,1,4.63,clear sky
114,Marawi,PH,8.0,124.29,68.67,92,100,2.3,moderate rain
115,Ponta Do Sol,PT,32.67,-17.1,77.63,77,53,3.78,broken clouds
116,Abramovka,RU,51.19,41.02,55.51,71,41,4.99,scattered clouds
117,Waingapu,ID,-9.66,120.26,78.3,75,42,4.36,scattered clouds
118,Jamestown,US,42.1,-79.24,78.03,57,0,12.66,clear sky
119,Necochea,AR,-38.55,-58.74,60.13,41,87,4.97,overcast clouds
120,Havelock,US,34.88,-76.9,89.98,66,20,9.22,few clouds
121,Madras,IN,13.09,80.28,87.78,79,40,9.22,scattered clouds
122,Novyy Urengoy,RU,66.08,76.63,48.72,84,94,18.03,overcast clouds
123,Prachuap Khiri Khan,TH,12.22,99.75,71.53,93,95,2.98,overcast clouds
124,The Valley,AI,18.22,-63.06,89.46,79,20,16.11,few clouds
125,Butaritari,KI,3.07,172.79,79.57,77,93,3.96,light rain
126,Tessalit,ML,20.2,1.01,101.79,14,15,2.91,few clouds
127,Tecoanapa,MX,16.52,-98.75,81.48,79,90,2.44,overcast clouds
128,Kapaa,US,22.08,-159.32,77.32,84,40,11.5,scattered clouds
129,Constitucion,CL,-35.33,-72.42,54.27,58,8,10.02,clear sky
130,Kedougou,SN,12.56,-12.17,74.41,96,100,1.45,light rain
131,Mahebourg,MU,-20.41,57.7,72.25,83,40,8.05,scattered clouds
132,Zhezkazgan,KZ,47.8,67.71,66.34,14,0,8.79,clear sky
133,College,US,64.86,-147.8,46.2,91,75,4.61,fog
134,Salalah,OM,17.02,54.09,80.69,89,75,10.36,broken clouds
135,Bethel,US,41.37,-73.41,74.16,68,40,4.61,scattered clouds
136,Pisco,PE,-13.7,-76.22,66.25,68,0,12.66,clear sky
137,Busselton,AU,-33.65,115.33,47.32,68,61,7.11,broken clouds
138,Guerrero Negro,MX,27.98,-114.06,76.46,65,74,7.05,broken clouds
139,Sitka,US,57.05,-135.33,57.09,88,75,0.0,broken clouds
140,Sao Felix Do Xingu,BR,-6.64,-52.0,101.93,21,30,3.24,scattered clouds
141,San Quintin,MX,30.48,-115.95,73.78,70,16,12.5,few clouds
142,Bengkulu,ID,-3.8,102.27,75.13,90,88,3.85,overcast clouds
143,Padang,ID,-0.95,100.35,73.45,95,100,8.25,moderate rain
144,Faya,SA,18.39,42.45,68.11,60,26,3.89,light rain
145,Pombas,CV,17.15,-25.02,83.98,72,8,13.69,clear sky
146,Vanimo,PG,-2.67,141.3,76.46,90,87,4.29,overcast clouds
147,Zheleznodorozhnyy,RU,55.75,38.0,53.15,89,100,3.47,light rain
148,Anadyr,RU,64.75,177.48,43.3,100,75,11.18,light rain
149,Kekri,IN,25.97,75.15,79.7,76,46,4.41,scattered clouds
150,Namibe,AO,-15.2,12.15,74.03,78,40,11.5,scattered clouds
151,Kavieng,PG,-2.57,150.8,81.27,73,98,4.32,overcast clouds
152,Fare,PF,-16.7,-151.02,78.12,75,3,20.49,light rain
153,Grindavik,IS,63.84,-22.43,53.55,100,75,11.5,broken clouds
154,Zhigalovo,RU,54.81,105.16,31.95,95,89,3.87,overcast clouds
155,Pisz,PL,53.63,21.81,49.62,81,83,5.37,broken clouds
156,Cam Ranh,VN,11.92,109.16,76.96,94,40,1.14,scattered clouds
157,Narsaq,GL,60.92,-46.05,46.62,44,27,3.53,scattered clouds
158,Ca Mau,VN,9.18,105.15,77.22,90,100,5.06,overcast clouds
159,Moose Factory,CA,51.26,-80.61,62.6,72,100,13.8,overcast clouds
160,Kahului,US,20.89,-156.47,77.85,78,20,10.36,few clouds
161,Linkoping,SE,58.41,15.62,58.98,52,0,3.44,clear sky
162,Arraial Do Cabo,BR,-22.97,-42.03,75.16,73,0,12.66,clear sky
163,Tilichiki,RU,60.47,166.1,40.15,82,94,23.0,overcast clouds
164,Saskylakh,RU,71.92,114.08,17.76,94,23,6.24,few clouds
165,Blacksburg,US,37.23,-80.41,81.18,70,0,3.44,clear sky
166,Nizhnyaya Tavda,RU,57.67,66.17,56.97,69,39,5.03,scattered clouds
167,North Tonawanda,US,43.04,-78.86,80.44,64,0,18.41,clear sky
168,Cidreira,BR,-30.18,-50.21,64.11,79,83,10.65,broken clouds
169,Tuktoyaktuk,CA,69.45,-133.04,41.0,93,100,21.85,light rain
170,Hamilton,US,39.18,-84.53,91.74,61,20,11.5,few clouds
171,Sola,VU,-13.88,167.55,79.38,75,55,9.22,broken clouds
172,Tekirdag,TR,40.98,27.51,63.75,47,78,12.73,light rain
