City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Tecoanapa,MX,81.48,overcast clouds,16.52,-98.75,Hotel Manglares
128,Kapaa,US,77.32,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
130,Kedougou,SN,74.41,light rain,12.56,-12.17,Relais de Kédougou
131,Mahebourg,MU,72.25,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
132,Zhezkazgan,KZ,66.34,clear sky,47.8,67.71,Hotel Zumrat
134,Salalah,OM,80.69,broken clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
135,Bethel,US,74.16,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
136,Pisco,PE,66.25,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
138,Guerrero Negro,MX,76.46,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
140,Sao Felix Do Xingu,BR,101.93,scattered clouds,-6.64,-52.0,Rio Xingu Camping
141,San Quintin,MX,73.78,few clouds,30.48,-115.95,Don Eddie's Sport Fishing Center
142,Bengkulu,ID,75.13,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
143,Padang,ID,73.45,moderate rain,-0.95,100.35,Mercure Padang
144,Faya,SA,68.11,light rain,18.39,42.45,أبو تركي للوحدات السكنيه
145,Pombas,CV,83.98,clear sky,17.15,-25.02,Paul Paradis
146,Vanimo,PG,76.46,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
149,Kekri,IN,79.7,scattered clouds,25.97,75.15,Rajasthani Pavitra Bhojnalaya
150,Namibe,AO,74.03,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
151,Kavieng,PG,81.27,overcast clouds,-2.57,150.8,Nusa Island Retreat
152,Fare,PF,78.12,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
156,Cam Ranh,VN,76.96,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
158,Ca Mau,VN,77.22,overcast clouds,9.18,105.15,Mường Thanh Luxury Cà Mau Hotel
159,Moose Factory,CA,62.6,overcast clouds,51.26,-80.61,Moosonee Lilypad
160,Kahului,US,77.85,few clouds,20.89,-156.47,Maui Seaside Hotel
162,Arraial Do Cabo,BR,75.16,clear sky,-22.97,-42.03,Pousada Porto Praia
165,Blacksburg,US,81.18,clear sky,37.23,-80.41,Hilton Garden Inn Blacksburg University
167,North Tonawanda,US,80.44,clear sky,43.04,-78.86,"Scottish Inns N. Tonawanda, NY"
168,Cidreira,BR,64.11,broken clouds,-30.18,-50.21,Hotel Castelo
170,Hamilton,US,91.74,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
171,Sola,VU,79.38,broken clouds,-13.88,167.55,Ulkel Guest House
172,Tekirdag,TR,63.75,light rain,40.98,27.51,Tekirdağ Yat Hotel
173,Soledade,BR,65.88,scattered clouds,-28.82,-52.51,Pousada Da Gringa
175,Kovur,IN,85.35,overcast clouds,14.48,79.98,Hotel Yesh Park
179,Karratha,AU,71.49,clear sky,-20.74,116.85,ibis Styles Karratha
180,Hobyo,SO,77.43,clear sky,5.35,48.53,Halane Hotel and Restaurent
181,Mayo,US,84.13,clear sky,38.89,-76.51,Resorts Resource Group International
182,Salta,AR,66.79,broken clouds,-24.79,-65.41,Hotel Alejandro I
183,Broome,US,78.19,clear sky,42.25,-75.83,Chenango Valley State Park
185,Ugoofaaru,MV,82.04,clear sky,5.67,73.0,Ungoofaaru Inn
186,Oktyabrskiy,RU,66.38,overcast clouds,54.48,53.47,Гостиница Октябрьская
193,Roma,US,77.83,clear sky,43.21,-75.46,Wingate By Wyndham Rome
195,Dingle,PH,75.63,overcast clouds,11.0,122.67,SEGAYA PROPERTY
197,Majene,ID,76.35,overcast clouds,-3.54,118.97,Kost Putri RABBANI
199,Eureka,US,62.2,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
203,Lasa,IT,65.28,clear sky,46.62,10.7,Pension Feldgärtenhof
204,Tabou,CI,79.12,scattered clouds,4.42,-7.35,hotêl doufoulougou
205,Concordia,AR,64.47,broken clouds,-31.39,-58.02,Palmar Hotel Casino
207,Coffs Harbour,AU,64.36,light intensity shower rain,-30.3,153.13,Aquajet Motel
208,Baracoa,CU,88.07,broken clouds,20.35,-74.5,Hostal Rio Miel
209,Potam,MX,87.89,few clouds,27.6,-110.38,Ejido La Pimienta
210,Naze,JP,76.12,light rain,28.37,129.48,Shishime Hotel
212,Hervey Bay,AU,68.34,broken clouds,-25.3,152.85,Shelly Bay Resort
215,Loubomo,CG,77.92,overcast clouds,-4.2,12.67,La Dolisienne
218,Rio Branco Do Sul,BR,60.22,light rain,-25.19,-49.31,DR Hotel Rio Branco do Sul
219,Itaituba,BR,96.96,few clouds,-4.28,-55.98,Hotel Campos
220,Georgetown,MY,82.33,few clouds,5.41,100.34,Cititel Penang
221,Ayorou,NE,93.47,broken clouds,14.73,0.92,Hotel Amenokal
222,Porto Novo,BJ,80.42,light rain,6.5,2.6,Tour Eiffel Hotel Benin
223,Seoul,KR,63.84,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
225,Mozelos,PT,83.88,clear sky,41.87,-8.4,Casa do Rio Vez - Alojamento de Charme
226,Pyay,MM,75.9,overcast clouds,18.82,95.22,Shwe Pyi Thar
227,Tucupita,VE,85.78,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
228,Kamina,CD,74.39,light rain,-8.74,24.99,LEANIF HOTEL RESTAURANT
234,Biak,ID,75.58,broken clouds,-0.91,122.88,Penginapan Kim
235,Bathsheba,BB,86.61,scattered clouds,13.22,-59.52,Atlantis Hotel
237,Sulangan,PH,83.86,overcast clouds,11.14,123.72,Maia's Beach Resort
239,Gat,IL,79.48,clear sky,31.61,34.76,OlusHome
240,Antalaha,MG,69.46,light rain,-14.9,50.28,Hotel Vitasoa
241,Bambous Virieux,MU,72.21,scattered clouds,-20.34,57.76,Casa Tia Villa
242,Carmen,MX,82.29,few clouds,18.63,-91.83,Hotel Lossandes
243,Byron Bay,AU,63.95,light rain,-28.65,153.62,Backpackers Inn
244,Olinda,BR,82.13,few clouds,-8.01,-34.86,Hotel 5 Sóis
245,Coahuayana,MX,81.57,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
248,Manokwari,ID,77.92,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
249,Beckley,US,79.21,clear sky,37.78,-81.19,"Country Inn & Suites by Radisson, Beckley, WV"
250,Rodeo,US,66.27,overcast clouds,38.03,-122.27,Captain's Cottage
252,Carutapera,BR,87.21,broken clouds,-1.2,-46.02,Lidera
259,Diamantino,BR,103.14,broken clouds,-14.41,-56.45,Hotel Delta
260,Oxford,GB,68.16,clear sky,51.75,-1.26,Malmaison Oxford
262,Ruteng,ID,62.37,broken clouds,-8.61,120.47,Hotel FX 72
264,Avarua,CK,73.45,scattered clouds,-21.21,-159.78,Paradise Inn
265,Cabo San Lucas,MX,86.61,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
266,Fano,IT,66.78,clear sky,43.82,13.01,Hotel Paradise Fano
267,Muros,ES,83.16,few clouds,42.78,-9.06,Apartment Av. Castelao
268,Sao Joao Da Barra,BR,80.69,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
